participant,log_duration,log_condition,advicecode,handed,observers,exclude,exclude kind,exclude_why,throw1,throw2,throw3,throw4,throw5,throw6,throw7,throw8,throw9,throw10,throw11,throw12,condition,playedbefore,playedyearsago,playedoften_txt,playedoften_num,adv_helpf,advice_imp,useadvice,english,age,gender
401,3:06,0,0,Left,0,,,,3.5,5.825,3.025,0.6,2,1.95,2.075,1,0.65,3.4,3.6,1.4,no advice,yes,20,every few years,1,,,,no,31,male
402,3:15,1,122,Right,0,,,,2.4,0.8,1.4,1.925,2.5,2.7,0,1.1,3.5,4.3,2.8,1.45,advice,no,,,,4,6.3,yes,yes,27,male
403,3:19,1,44,Right,0,,,,7.6,8,-99,6.5,2.5,-99,4.25,2.1,3.325,-99,-99,-99,advice,no,,,,4,3.5,yes,yes,25,female
404,3:26,0,0,Right,0,,,,-99,-99,5.975,-99,5.6,1.9,6.8,1.975,6.75,7.55,-99,3.65,no advice,no,,,,,,,no,28,female
405,3:30,0,0,Left,0,,,,-99,7.5,7.475,5.9,5.4,3.825,4.8,-99,6.2,3.8,2.95,-99,no advice,no,,,,,,,yes,29,male
406,3:38,0,0,Right,0,,,,1.5,4.475,3.3,6.125,0.9,2.05,2.8,2.725,3.475,5.1,3.9,2.5,no advice,yes,30,every few years,1,,,,yes,50,female
408,3:47,0,0,Right,0,,,,5.9,0.5,3.3,2.15,2.85,4.4,4.15,5.6,4.6,5.3,2.475,7.2,no advice,yes,30,every few years,1,,,,no,42,female
410,3:55,1,121,Right,0,,,,-99,1.7,8.25,4.1,1.125,3.5,4.55,1.655,4.975,5.725,1.3,6.5,advice,yes,10,a few times a year,2,4,5.7,yes,yes,25,female
411,3:57,1,90,Right,0,,,,5.275,-99,2.95,1.25,1.875,1.65,3.8,5.725,2.5,-99,1.025,-99,advice,yes,15,a few times a year,2,4,3.8,unsure,yes,47,female
412,4:07,0,0,Right,0,,,,1.1,3.175,1.2,1.55,2.7,0.75,1.775,0.2,2.25,3.4,3.275,0.5,no advice,yes,3,every few years,1,,,,no,46,male
413,4:19,0,0,Right,0,,,,2.125,1.85,4,1.05,1.55,2.5,2,4.45,4.325,2.75,2.975,1.4,no advice,yes,15,every few years,1,,,,no,23,male
414,4:23,1,46,Right,0,,,,2.5,4.425,2.5,2.4,2.4,3.65,1.1,0.8,1.475,-99,-99,3.925,advice,yes,16,a few times a month,3,4,8,yes,no,21,male
415,4:27,1,109,Left,0,,,,-99,5.35,5.475,2.45,5.7,1.425,3.85,1.15,5.95,4.2,3.5,3.575,advice,yes,4,a few times a year,2,4,7.6,yes,no,22,male
416,4:32,0,0,Right,0,,,,2.95,3.625,0.55,5.7,1.6,2.55,4.1,6.65,4.2,0.025,1.925,7.6,no advice,yes,15,a few times a year,2,,,,no,26,male
417,4:36,1,9,Right,0,,,,-99,1.7,-99,-99,-99,4.8,3.45,5.55,-99,7.15,2.9,5.9,advice,yes,10,every few years,1,5,6.5,unsure,,,
418,1:20,0,0,Right,2,,,,8,4.525,2.75,1.6,3.825,4.225,-99,5.525,5.825,4.475,4.225,2.475,no advice,no,,,,,,,no,20,female
419,1:25,0,0,Right,2,,,,-99,-99,-99,4.95,7.4,7.95,3.575,2.4,4.6,2.4,5.925,-99,no advice,no,,,,,,,no,21,female
420,1:28,1,79,Right,2,,,,-99,6.7,6.55,8.1,-99,-99,-99,5.15,5.9,7.45,3.775,-99,advice,no,,,,4,4,unsure,no,21,female
421,1:37,1,105,Right,0,,,,1.6,3.525,1.25,6.3,2.925,6.8,3.225,3,2,4.275,-99,6.35,advice,yes,15,every few years,1,4,2.8,yes,yes,27,female
422,1:41,0,0,Right,0,,,,2.7,4.875,3.425,-99,3.025,1.8,0.45,2.9,2.25,4.4,3.125,6.9,no advice,yes,20,every few years,1,,,,yes,51,female
423,1:43,0,0,Right,0,,,,0.425,2.525,5.75,5.4,4.95,2.6,3.425,0.45,6.625,0.925,2.25,1.75,no advice,no,,,,,,,yes,22,female
424,1:46,0,0,Right,0,,,,-99,8.025,0.525,3.05,5.775,-99,1.8,1.9,3.55,3.05,-99,1.65,no advice,no,,,,,,,no,21,female
425,1:50,0,0,Right,0,,,,-99,-99,2.5,2.625,-99,3.35,5.125,4.35,6.525,6.3,1.6,7.5,no advice,yes,3,every few years,1,,,,no,21,female
426,1:52,1,99,Right,0,,,,-99,-99,2.425,3.05,4.45,6.125,3.55,2.45,3.325,1.5,5.6,5.6,advice,yes,6,every few years,1,4,5.7,yes,yes,29,female
427,1:54,0,0,Right,0,,,,1.725,4.425,3.425,1.7,2.3,4.4,4.25,6.55,3.05,7.425,2.95,1.45,no advice,yes,5,a few times a year,2,,,,no,28,male
428,1:59,1,66,Right,0,,,,4.5,0.725,1.725,3.3,1.55,2.275,2.25,3.375,3.5,5.2,5.85,1.4,advice,yes,18,a few times a year,2,3,5.8,unsure,no,29,female
429,2:01,0,0,Right,0,,,,3.425,1.9,4.35,1.45,5.525,4.6,4.1,0.375,-99,5.15,4.2,5.775,no advice,yes,3,every few years,1,,,,no,37,male
430,2:03,1,120,Right,0,,,,0.85,0.45,1.15,5.9,6.325,6.5,1.2,4.35,5.8,3.775,1.725,-99,no advice,yes,10,every few years,1,,,,yes,26,male
431,2:05,0,0,Right,0,,,,-99,-99,-99,-99,-99,-99,4.6,8.75,-99,-99,-99,-99,no advice,yes,8,every few years,1,,,,yes,23,male
432,2:09,0,0,Right,0,,,,5.4,2.8,-99,4.15,4.65,6.2,-99,7.05,5.75,6.9,6.55,7.525,no advice,yes,5,every few years,1,,,,no,33,female
433,2:22,1,83,Right,0,,,,-99,4.425,-99,-99,5.125,1.8,-99,-99,5.6,-99,3.8,-99,advice,yes,15,,,4,0,yes,yes,36,female
434,2:25,1,113,Right,0,,,,-99,-99,-99,-99,1.325,2.725,6.5,1.925,3.825,1.425,2.55,1.55,advice,yes,10,a few times a month,3,4,7.3,yes,no,30,male
435,2:28,0,0,,0,,,,-99,3.825,2.55,2.475,3.95,1.55,3.65,6.5,2.775,1.1,4.6,5.65,no advice,yes,40,every few years,1,,,,no,57,male
436,2:36,1,69,Right,0,,,,2.2,3.4,4.225,-99,1.4,1.9,2.1,2.9,3.525,1.375,2.4,4.225,advice,yes,10,a few times a month,3,4,1.6,yes,yes,20,male
437,3:38,1,106,Right,0,,,,5.825,2.525,3.4,7.15,5.15,1,4.25,1.65,-99,5.25,4.925,4.675,advice,yes,10,a few times a year,2,4,,yes,yes,19,male
438,2:40,1,74,Right,0,,,,6.7,3.5,5.875,1.85,2.45,-99,5.1,3.5,3.825,3.95,4.35,1.4,advice,yes,5,every few years,1,,2.2,no,yes,19,male
439,2:49,1,105,Right,0,,,,-99,-99,-99,1.8,0.625,-99,3.325,4.05,6.45,5.35,-99,-99,advice,yes,18,every few years,1,4,5.3,unsure,yes,32,female
440,2:52,1,13,Right,0,,,,-99,3.125,4.35,5.65,2.9,-99,-99,-99,-99,6.625,4,-99,advice,yes,3,every few years,1,3,1.4,yes,yes,19,female
441,2:56,0,0,Right,0,,,,2.2,1.75,6.65,6.35,5.3,4.25,-99,5.7,2.9,5.1,5.625,8.15,no advice,no,,,,,,,yes,23,male
442,2:59,1,100,Right,0,,,,7.75,4.55,-99,6.325,-99,3.35,5.05,-99,-99,4.3,-99,7.45,advice,no,,,,4,2.6,yes,no,18,female
443,3:01,0,0,Right,0,,,,8,3.85,4.2,3.325,4.2,3.55,1.75,2.325,3.5,3.2,0.5,2.875,no advice,,,,,,,,no,20,female
444,3:05,1,95,Right,0,,,,-99,7.725,2.45,-99,1.95,1.5,-99,3.05,3.9,-99,-99,2.3,advice,yes,5,a few times a year,2,4,6.4,no,yes,18,male
445,3:07,1,78,Right,0,,,,-99,5.6,-99,-99,-99,-99,-99,-99,-99,2.725,-99,4.05,advice,no,,,,4,4.1,yes,yes,18,male
446,3:09,1,52,Right,0,,,,-99,-99,-99,-99,2.175,4.35,-99,5.95,4,2.4,0.9,6.925,advice,yes,2,every few years,1,4,6.9,yes,yes,19,female
447,3:13,1,38,Right,0,,,,4.65,0.85,6,7.55,1.1,1.6,2.45,-99,7.525,1.5,1.9,3.4,advice,yes,3,every few years,1,3,0.5,yes,no,25,female
448,3:19,1,107,Left,0,,,,-99,4.6,3.8,3.5,3.45,-99,4.275,2.425,2.25,3.25,-99,2.525,advice,yes,20,every few years,1,4,6.5,yes,yes,27,female
